country_code,region_name,iata,airport
AE,Abu Zaby,AAN,Al Ain International Airport
AE,Abu Zaby,AUH,Abu Dhabi International Airport
AE,Abu Zaby,AYM,Yas Island Seaplane Base
AE,Abu Zaby,AZI,Al Bateen Executive Airport
AE,Abu Zaby,DHF,Al Dhafra Air Base
AE,Abu Zaby,XSB,Sir Bani Yas Airport
AE,Abu Zaby,ZDY,Dalma Airport
AE,Al Fujayrah,FJR,Fujairah International Airport
AE,Ash Shariqah,SHJ,Sharjah International Airport
AE,Dubayy,DCG,Dubai Creek Seaplane Base
AE,Dubayy,DJH,Jebel Ali Seaplane Base
AE,Dubayy,DWC,Al Maktoum International Airport
AE,Dubayy,DXB,Dubai International Airport
AE,Dubayy,NHD,Al Minhad Air Base
AE,Ra's al Khaymah,RHR,Al Hamra Seaplane Base
AE,Ra's al Khaymah,RKT,Ras Al Khaimah International Airport
AF,Badakhshan,DAZ,Darwaz Airport
AF,Badakhshan,FBD,Fayzabad Airport
AF,Badakhshan,KUR,Razer Airport
AF,Badakhshan,KWH,Khwahan Airport
AF,Badakhshan,SGA,Sheghnan Airport
AF,Badghis,LQN,Qala i Naw Airport
AF,Balkh,MZR,Mazar-e Sharif International Airport
AF,Bamyan,BIN,Bamyan Airport
AF,Farah,FAH,Farah Airport
AF,Faryab,MMZ,Maymana Airport
AF,Ghazni,GZI,Ghazni Airport
AF,Ghazni,SBF,Sardeh Band Airport
AF,Ghor,CCN,Chaghcharan Airport
AF,Helmand,BST,Bost Airport
AF,Helmand,DWR,Dwyer Airport
AF,Helmand,OAZ,Camp Bastion Air Base
AF,Herat,HEA,Herat International Airport
AF,Herat,OAH,Shindand Air Base
AF,Herat,ZAJ,Zaranj Airport
AF,Kabul,GRG,Gardez Airport
AF,Kabul,KBL,Kabul International Airport
AF,Kandahar,KDH,Kandahar International Airport
AF,Kandahar,TII,Tarinkot Airport
AF,Kandahar,URZ,Uruzgan Airport
AF,Khost,KHT,Khost Airfield
AF,Khost,OLR,Forward Operating Base Salerno
AF,Kunduz,UND,Kunduz Airport
AF,Logar,OAA,Forward Operating Base Shank
AF,Nangarhar,JAA,Jalalabad Airport
AF,Paktika,OAS,Sharana Airstrip / Forward Operating Base Sharana
AF,Paktika,URN,Urgun Airport
AF,Parwan,OAI,Bagram Airfield
AF,Takhar,TQN,Taloqan Airport
AG,Barbuda,BBQ,Barbuda Codrington Airport
AG,Saint George,ANU,V. C. Bird International Airport
AI,Anguilla,AXA,Clayton J. Lloyd International Airport
AM,Erevan,EVN,Zvartnots International Airport
AM,Sirak,LWN,Gyumri Shirak Airport
AO,Bengo,AZZ,Ambriz Airport
AO,Benguela,BUG,Benguela Airport (Gen. V. Deslandes Airport)
AO,Benguela,CBT,Catumbela Airport
AO,Benguela,LLT,Lobito Airport
AO,Bie,ANL,Andulo Airport
AO,Bie,SVP,Kuito Airport
AO,Cabinda,CAB,Cabinda Airport
AO,Cunene,VPE,Ondjiva Pereira Airport
AO,Cunene,XGN,Xangongo Airport
AO,Huambo,NOV,Albano Machado Airport
AO,Huila,JMB,Jamba Airport
AO,Huila,SDD,Lubango Mukanka Airport
AO,Kuando Kubango,CTI,Cuito Cuanavale Airport
AO,Kuando Kubango,DRC,Dirico Airport
AO,Kuando Kubango,SPP,Menongue Airport
AO,Kwanza Norte,NDF,N'dalatando Airport
AO,Kwanza Sul,CEO,Waco Kungo Airport
AO,Kwanza Sul,NDD,Sumbe Airport
AO,Kwanza Sul,PBN,Porto Amboim Airport
AO,Luanda,LAD,Quatro de Fevereiro Airport
AO,Lunda Norte,CFF,Cafunfo Airport
AO,Lunda Norte,DUE,Dundo Airport
AO,Lunda Norte,LBZ,Lucapa Airport
AO,Lunda Norte,LZM,Cuango-Luzamba Airport
AO,Lunda Norte,NZA,Nzagi Airport
AO,Lunda Norte,PGI,Chitato Airport
AO,Lunda Sul,VHC,Henrique de Carvalho Airport
AO,Malange,KNP,Kapanda Airport
AO,Malange,MEG,Malanje Airport
AO,Moxico,CAV,Cazombo Airport
AO,Moxico,CNZ,Cangamba Airport
AO,Moxico,GGC,Lumbala N'guimbo Airport
AO,Moxico,LUO,Luena Airport
AO,Moxico,UAL,Luau Airport
AO,Namibe,MSZ,Namibe Airport (Yuri Gagarin Airport)
AO,Uige,GXG,Negage Airport
AO,Uige,UGO,Uige Airport
AO,Zaire,ARZ,N'zeto Airport
AO,Zaire,SSY,Mbanza Congo Airport
AO,Zaire,SZA,Soyo Airport
AQ,Antarctica,TNM,Teniente R. Marsh Airport
AR,Buenos Aires,AEP,Aeroparque Internacional Jorge Newbery
AR,Buenos Aires,BHI,Comandante Espora Airport
AR,Buenos Aires,CPG,Carmen de Patagones Airport
AR,Buenos Aires,CSZ,Brigadier Hector Eduardo Ruiz Airport
AR,Buenos Aires,EPA,El Palomar Airport
AR,Buenos Aires,EZE,Ministro Pistarini International Airport
AR,Buenos Aires,JNI,Junin Airport
AR,Buenos Aires,LPG,La Plata Airport
AR,Buenos Aires,MDQ,Astor Piazzolla International Airport
AR,Buenos Aires,MJR,Miramar Airport
AR,Buenos Aires,NEC,Necochea Airport
AR,Buenos Aires,OVR,Olavarria Airport
AR,Buenos Aires,OYO,Tres Arroyos Airport
AR,Buenos Aires,PEH,Comodoro Pedro Zanni Airport
AR,Buenos Aires,SST,Santa Teresita Airport
AR,Buenos Aires,TDL,Tandil Airport
AR,Buenos Aires,VGS,General Villegas Airport
AR,Buenos Aires,VLG,Villa Gesell Airport
AR,Catamarca,CTC,Coronel Felipe Varela International Airport
AR,Chaco,CNT,Charata Airport
AR,Chaco,PRQ,Presidencia Roque Saenz Pena Airport
AR,Chaco,RES,Resistencia International Airport
AR,Chubut,ARR,Alto Rio Senguer Airport
AR,Chubut,CRD,General Enrique Mosconi International Airport
AR,Chubut,EMX,El Maiten Airport
AR,Chubut,EQS,Esquel Airport
AR,Chubut,JSM,Jose de San Martin Airport
AR,Chubut,OLN,Lago Musters Airport
